event_type,economic_dimension,direction,confidence_raw_band,split_name,sample_size,positive_count,negative_count,neutral_count,missing_count,observed_positive_rate,average_static_weight,brier_score,calibration_error,calibration_status,calibrated_probability,diagnostic_only
canonical_source_event_add,EXECUTION,NEUTRAL,low,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,231,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_add,EXECUTION,NEUTRAL,low,anchored_oos,50,40,10,0,0,0.8,0.35,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_add,EXECUTION,NEUTRAL,low,offline_task385_continuation_engine,231,179,52,0,6,0.7748917748917749,0.35,0.3549675324675325,0.4248917748917749,CALIBRATED,0.7748917748917749,True
canonical_source_event_add,EXECUTION,NEUTRAL,low,train,181,139,42,0,6,0.7679558011049724,0.35,0.3528867403314917,0.41795580110497244,CALIBRATED,0.7679558011049724,True
canonical_source_event_entry,EXECUTION,NEUTRAL,low,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,350,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_entry,EXECUTION,NEUTRAL,low,anchored_oos,81,40,41,0,0,0.49382716049382713,0.35,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_entry,EXECUTION,NEUTRAL,low,offline_task385_continuation_engine,350,191,159,0,11,0.5457142857142857,0.35,0.28621428571428575,0.19571428571428573,CALIBRATED,0.5457142857142857,True
canonical_source_event_entry,EXECUTION,NEUTRAL,low,train,269,151,118,0,11,0.5613382899628253,0.35,0.2909014869888476,0.21133828996282533,CALIBRATED,0.5613382899628253,True
canonical_source_event_exit,EXECUTION,NEUTRAL,low,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,350,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_exit,EXECUTION,NEUTRAL,low,anchored_oos,81,40,41,0,0,0.49382716049382713,0.35,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_exit,EXECUTION,NEUTRAL,low,offline_task385_continuation_engine,350,191,159,0,0,0.5457142857142857,0.35,0.28621428571428575,0.19571428571428573,CALIBRATED,0.5457142857142857,True
canonical_source_event_exit,EXECUTION,NEUTRAL,low,train,269,151,118,0,0,0.5613382899628253,0.35,0.2909014869888476,0.21133828996282533,CALIBRATED,0.5613382899628253,True
canonical_source_event_reduce,EXECUTION,NEUTRAL,low,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,261,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_reduce,EXECUTION,NEUTRAL,low,anchored_oos,60,21,39,0,0,0.35,0.35,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_reduce,EXECUTION,NEUTRAL,low,offline_task385_continuation_engine,261,106,155,0,1,0.4061302681992337,0.35,0.24433908045977012,0.056130268199233724,CALIBRATED,0.4061302681992337,True
canonical_source_event_reduce,EXECUTION,NEUTRAL,low,train,201,85,116,0,1,0.4228855721393035,0.35,0.24936567164179105,0.07288557213930352,CALIBRATED,0.4228855721393035,True
canonical_source_event_scale,EXECUTION,NEUTRAL,low,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,151,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_scale,EXECUTION,NEUTRAL,low,anchored_oos,31,29,2,0,0,0.9354838709677419,0.35,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_scale,EXECUTION,NEUTRAL,low,offline_task385_continuation_engine,151,137,14,0,4,0.9072847682119205,0.35,0.3946854304635762,0.5572847682119205,CALIBRATED,0.9072847682119205,True
canonical_source_event_scale,EXECUTION,NEUTRAL,low,train,120,108,12,0,4,0.9,0.35,0.3925,0.55,CALIBRATED,0.9,True
