relation_graph_id,symbol,decision_asof_ts,evidence_edge_ids,support_score,risk_score,context_score,blocker_score,net_direction_score,coverage_score,graph_state,critical_blocker_flags,noncritical_gap_flags,confidence_floor,confidence_weighted_mean,diagnostic_only
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2021-06-14|CONT-0001,AAPL,2021-07-13T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2021-07-14|CONT-0002,AAPL,2021-08-11T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2021-08-16|CONT-0003,AAPL,2021-09-14T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000003|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2021-10-19|CONT-0004,AAPL,2021-11-16T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-10-19|CONT-0004|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-10-19|CONT-0004|000002|EXIT,0,0,0.0875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2021-11-17|CONT-0005,AAPL,2021-12-16T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-11-17|CONT-0005|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-11-17|CONT-0005|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-11-17|CONT-0005|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-11-17|CONT-0005|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-11-17|CONT-0005|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2022-03-23|CONT-0006,AAPL,2022-04-21T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-03-23|CONT-0006|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-03-23|CONT-0006|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-03-23|CONT-0006|000003|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-03-23|CONT-0006|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2022-07-14|CONT-0007,AAPL,2022-08-11T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-07-14|CONT-0007|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-07-14|CONT-0007|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-07-14|CONT-0007|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-07-14|CONT-0007|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2022-08-12|CONT-0008,AAPL,2022-08-30T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-08-12|CONT-0008|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-08-12|CONT-0008|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-08-12|CONT-0008|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2022-10-28|CONT-0009,AAPL,2022-11-03T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-10-28|CONT-0009|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-10-28|CONT-0009|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2022-10-28|CONT-0009|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-01-23|CONT-0010,AAPL,2023-02-21T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-01-23|CONT-0010|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-01-23|CONT-0010|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-01-23|CONT-0010|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-01-23|CONT-0010|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-01-23|CONT-0010|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
