report_dir,relative_path,source_path,target_path,artifact_class,size_bytes,archive_state,migration_action,reference_count,references,directory_reference_count,directory_references
task_406_deterministic_decision_rebuild,artifact_manifest.csv,docs/reports/task_406_deterministic_decision_rebuild/artifact_manifest.csv,data/artifacts/task_406_deterministic_decision_rebuild/artifact_manifest.csv,small_table,862,archive_candidate,keep_small_or_report_artifact,1,tasks/archive_candidate_registry.csv,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,decision_factor_lineage_audit.csv,docs/reports/task_406_deterministic_decision_rebuild/decision_factor_lineage_audit.csv,data/artifacts/task_406_deterministic_decision_rebuild/decision_factor_lineage_audit.csv,decision,244167078,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,decision_source_discipline_audit.csv,docs/reports/task_406_deterministic_decision_rebuild/decision_source_discipline_audit.csv,data/artifacts/task_406_deterministic_decision_rebuild/decision_source_discipline_audit.csv,decision,1759,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,enriched_decision_snapshot_log.csv,docs/reports/task_406_deterministic_decision_rebuild/enriched_decision_snapshot_log.csv,data/artifacts/task_406_deterministic_decision_rebuild/enriched_decision_snapshot_log.csv,decision,593424967,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,enriched_entry_candidate_log.csv,docs/reports/task_406_deterministic_decision_rebuild/enriched_entry_candidate_log.csv,data/artifacts/task_406_deterministic_decision_rebuild/enriched_entry_candidate_log.csv,large_panel,465947726,archive_candidate,skip_referenced,1,src/backtest/build_task406_professional_combo_validation.py,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,raw_decision_rebuild_comparison.csv,docs/reports/task_406_deterministic_decision_rebuild/raw_decision_rebuild_comparison.csv,data/artifacts/task_406_deterministic_decision_rebuild/raw_decision_rebuild_comparison.csv,decision,246,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,task_406_deterministic_decision_rebuild.md,docs/reports/task_406_deterministic_decision_rebuild/task_406_deterministic_decision_rebuild.md,data/artifacts/task_406_deterministic_decision_rebuild/task_406_deterministic_decision_rebuild.md,report,907,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_406_deterministic_decision_rebuild,task_406b_decision.csv,docs/reports/task_406_deterministic_decision_rebuild/task_406b_decision.csv,data/artifacts/task_406_deterministic_decision_rebuild/task_406b_decision.csv,decision,482,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task406_deterministic_decision_rebuild.py|src/backtest/build_task406_professional_combo_validation.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,artifact_manifest.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/artifact_manifest.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/artifact_manifest.csv,small_table,1636,archive_candidate,keep_small_or_report_artifact,1,tasks/archive_candidate_registry.csv,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,decision_ordering_invariant_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/decision_ordering_invariant_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/decision_ordering_invariant_audit.csv,decision,66,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_accepted_lifecycle_event_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_accepted_lifecycle_event_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_accepted_lifecycle_event_log.csv,large_panel,29153946,archive_candidate,skip_referenced,1,src/backtest/build_task401_exact_label_generation_404.py,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_bucket_quality_offline_label_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_bucket_quality_offline_label_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_bucket_quality_offline_label_audit.csv,small_table,223,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_continuation_decision_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,decision,126431119,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_decision_snapshot_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,decision,592378205,archive_candidate,keep_small_or_report_artifact,1,src/backtest/build_task406_deterministic_decision_rebuild.py,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_entry_candidate_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,large_panel,465947726,archive_candidate,skip_referenced,3,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_filter_component_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_filter_component_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_filter_component_audit.csv,small_table,4693,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
