group,file_count,size_bytes
LARGE_REPORT_ARTIFACT,17,3259173733
DERIVED_OR_RUNTIME_DATA,46,2733685162
PROTECTED_RAW_SOURCE,822,2553725948
PROJECT_SOURCE_OR_CONFIG,9476,243775014
PROTECTED_DB_AUTHORITY,11,207851520
HISTORICAL_REPORT,2119,195720421
UNKNOWN_NEEDS_REVIEW,1180,187054024
FRONTEND_PUBLIC_CATALOG,5,121163150
POSSIBLE_DUPLICATE_GENERATED_CATALOG,5,121163150
LOCAL_INSTALLER_OR_DOWNLOAD,1,36501504
PROJECT_DOC_OR_TASK,148,9498333
GENERATED_CACHE,853,9238650
STALE_DISCOVERY_OUTPUT,4,8479843
ACTIVE_GOVERNANCE_REPORT,21,5363795
RUN_LOG,20,973431
LOCAL_BINARY_OR_ARCHIVE,1,253170
TMP_OR_CHECKPOINT,3,171255
ARTIFACT_MANIFEST,174,149270
VALIDATOR,16,83689
REGISTRY,2,69565
CANONICAL_GOVERNANCE,8,53057
NAVIGATION_LAYER,7,25239
ACTIVE_OPERATING_LAYER,9,17516
LOCAL_TOOL_STATE,6,7311
PROTECTED_SECRET_OR_LOCAL_AUTH,4,1067
