path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
__pycache__/validate_readiness_registry.cpython-313.pyc,__pycache__,.pyc,6885,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
data/__pycache__/catalog.cpython-313.pyc,data,.pyc,1538,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
data/__pycache__/quality.cpython-313.pyc,data,.pyc,1533,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/acceptance_gate_validate.cpython-313.pyc,scripts,.pyc,16871,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/active_task_registry_validate.cpython-313.pyc,scripts,.pyc,4549,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/artifact_migrate_safe.cpython-313.pyc,scripts,.pyc,6403,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/artifact_migration_plan.cpython-313.pyc,scripts,.pyc,7042,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/build_acceptance_status_catalog.cpython-313.pyc,scripts,.pyc,11115,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/build_trader_terminal_catalog.cpython-313.pyc,scripts,.pyc,86030,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/capture_kis_fixtures.cpython-313.pyc,scripts,.pyc,6878,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/codeowners_coverage_validate.cpython-313.pyc,scripts,.pyc,1947,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/fetch_us_daily_data.cpython-313.pyc,scripts,.pyc,5699,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/frontend_continuity_validate.cpython-313.pyc,scripts,.pyc,3215,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/governance_completion_audit.cpython-313.pyc,scripts,.pyc,3126,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/operating_closeout_validate.cpython-313.pyc,scripts,.pyc,4696,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/task_artifact_manifest.cpython-313.pyc,scripts,.pyc,4176,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
scripts/__pycache__/task_registry_validate.cpython-313.pyc,scripts,.pyc,3915,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/__pycache__/__init__.cpython-313.pyc,src,.pyc,237,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/analytics/__pycache__/__init__.cpython-313.pyc,src,.pyc,244,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/analytics/__pycache__/attribution.cpython-313.pyc,src,.pyc,4091,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/analytics/__pycache__/metrics.cpython-313.pyc,src,.pyc,7065,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc,src,.pyc,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.1584633572416,src,.1584633572416,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.1883009740560,src,.1883009740560,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.1927870237792,src,.1927870237792,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.1994033351776,src,.1994033351776,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.2005240532064,src,.2005240532064,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.2257424501856,src,.2257424501856,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.2536830356576,src,.2536830356576,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.2557684051728,src,.2557684051728,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.2613075539600,src,.2613075539600,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/__init__.cpython-313.pyc.2641766412048,src,.2641766412048,238,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/continuation_runtime_capture_370.cpython-313.pyc,src,.pyc,15225,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/main.cpython-313.pyc,src,.pyc,7655,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/main.cpython-313.pyc.1584632740560,src,.1584632740560,3774,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/main.cpython-313.pyc.1883010446064,src,.1883010446064,4589,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
