path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
.env,.env,<none>,101,PROTECTED_SECRET_OR_LOCAL_AUTH,KEEP,CRITICAL,Local secret/auth material; never delete or archive automatically.
.github/CODEOWNERS,.github,<none>,1016,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/data_integrity_bug.yml,.github,.yml,815,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/data_source_task.yml,.github,.yml,947,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/refactor_infra_task.yml,.github,.yml,686,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/research_task.yml,.github,.yml,1177,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/pull_request_template.md,.github,.md,834,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.gitignore,.gitignore,<none>,432,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.graphifyignore,.graphifyignore,<none>,430,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.kis_token_cache.json,.kis_token_cache.json,.json,489,PROTECTED_SECRET_OR_LOCAL_AUTH,KEEP,CRITICAL,Local secret/auth material; never delete or archive automatically.
.obsidian/app.json,.obsidian,.json,149,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
.obsidian/appearance.json,.obsidian,.json,2,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
