path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
.github/CODEOWNERS,.github,<none>,1016,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/data_integrity_bug.yml,.github,.yml,815,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/data_source_task.yml,.github,.yml,947,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/refactor_infra_task.yml,.github,.yml,686,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/ISSUE_TEMPLATE/research_task.yml,.github,.yml,1177,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.github/pull_request_template.md,.github,.md,834,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.gitignore,.gitignore,<none>,432,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.graphifyignore,.graphifyignore,<none>,430,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
.obsidian/app.json,.obsidian,.json,149,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
.obsidian/appearance.json,.obsidian,.json,2,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
.obsidian/core-plugins.json,.obsidian,.json,704,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
.obsidian/graph.json,.obsidian,.json,662,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
.obsidian/templates.json,.obsidian,.json,42,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
.obsidian/workspace.json,.obsidian,.json,5752,LOCAL_TOOL_STATE,NEEDS_REVIEW,MEDIUM,Local tool state; do not manage as project source without owner approval.
AGENTS.md,AGENTS.md,.md,4400,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
README.md,README.md,.md,6247,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/README.md,context,.md,3927,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/architecture/README.md,context,.md,1080,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/architecture/contracts.md,context,.md,14914,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/architecture/domain-model.md,context,.md,7743,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/codebase/README.md,context,.md,4840,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/product/README.md,context,.md,899,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/workflow/README.md,context,.md,1069,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/workflow/execution-rules.md,context,.md,3538,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
context/workflow/state-management.md,context,.md,2392,UNKNOWN_NEEDS_REVIEW,NEEDS_REVIEW,MEDIUM,No specific policy matched; owner review required.
data/README.md,data,.md,1248,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_394_regime_aware_canonical_continuation_policy/policy_lifecycle_simulation_panel.csv,data,.csv,38895358,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_395_forward_live_regime_detectability/forward_live_timestamp_regime_panel.csv,data,.csv,19558110,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_event_log.csv,data,.csv,25178744,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_lifecycle_summary.csv,data,.csv,13505494,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_399_intraday_universe_history_expansion/task_391_expanded/split_lifecycle_panel.csv,data,.csv,23609717,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
