path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
.env,.env,<none>,101,PROTECTED_SECRET_OR_LOCAL_AUTH,KEEP,CRITICAL,Local secret/auth material; never delete or archive automatically.
.kis_token_cache.json,.kis_token_cache.json,.json,489,PROTECTED_SECRET_OR_LOCAL_AUTH,KEEP,CRITICAL,Local secret/auth material; never delete or archive automatically.
config/kis_paper.env,config,.env,376,PROTECTED_SECRET_OR_LOCAL_AUTH,KEEP,CRITICAL,Local secret/auth material; never delete or archive automatically.
config/nasdaq_market_calendar.csv,config,.csv,1072,PROJECT_SOURCE_OR_CONFIG,KEEP,MEDIUM,Project code/config/test surface.
configs/theme_universe.yaml,configs,.yaml,1886,PROJECT_SOURCE_OR_CONFIG,KEEP,MEDIUM,Project code/config/test surface.
data/artifacts/task_548_market_theme_regime_feature_expansion/artifact_manifest.csv,data,.csv,271,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_549_theme_universe_leadership_contract/artifact_manifest.csv,data,.csv,158,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_550_anchored_vwap_band_walk_continuation/artifact_manifest.csv,data,.csv,178,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_553_portfolio_realism_simulator/artifact_manifest.csv,data,.csv,274,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_556_vwap_bandwalk_portfolio_revalidation/artifact_manifest.csv,data,.csv,275,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_557_vwap_acceptance_ontology_rebuild/artifact_manifest.csv,data,.csv,277,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_559_context_gate_reattach/artifact_manifest.csv,data,.csv,265,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_562_vwap_acceptance_oos_stability_test/artifact_manifest.csv,data,.csv,171,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_563_paper_shadow_microstructure_capture_activation/artifact_manifest.csv,data,.csv,171,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_567_capital_flow_regime_v6/artifact_manifest.csv,data,.csv,168,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/artifacts/task_568_vwap_pullback_sleeve_robustness/artifact_manifest.csv,data,.csv,177,ARTIFACT_MANIFEST,KEEP,HIGH,Artifact manifest and audit trail.
data/raw/alpaca_active_us_equity_universe.csv,data,.csv,962745,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AFRM.csv,data,.csv,3179627,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMD.csv,data,.csv,135153224,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMGN.csv,data,.csv,4763094,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/AMZN.csv,data,.csv,142521597,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/ARM.csv,data,.csv,8120219,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/ASML.csv,data,.csv,54630262,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
data/raw/alpaca_historical_microstructure/feed=sip/quotes/ASTS.csv,data,.csv,5673189,PROTECTED_RAW_SOURCE,KEEP,CRITICAL,Raw source data must be preserved or migrated only by source-owner plan.
