group,file_count,size_bytes
DERIVED_OR_RUNTIME_DATA,109,5776277448
PROTECTED_RAW_SOURCE,835,2553727140
PROJECT_SOURCE_OR_CONFIG,9477,243797217
LARGE_REPORT_ARTIFACT,8,216624687
PROTECTED_DB_AUTHORITY,11,207851520
HISTORICAL_REPORT,2152,201297182
FRONTEND_PUBLIC_CATALOG,7,121163299
LOCAL_BINARY_OR_ARCHIVE,1,36501504
PROJECT_DOC_OR_TASK,177,10687851
STALE_DISCOVERY_OUTPUT,4,8479843
ACTIVE_GOVERNANCE_REPORT,21,5363795
ARTIFACT_MANIFEST,178,153547
REGISTRY,2,71689
VALIDATOR,11,58007
UNKNOWN_NEEDS_REVIEW,22,57653
CANONICAL_GOVERNANCE,8,53057
NAVIGATION_LAYER,7,25239
ACTIVE_OPERATING_LAYER,9,19072
LOCAL_TOOL_STATE,6,7311
PROTECTED_SECRET_OR_LOCAL_AUTH,3,966
