symbol,symbol_status,source_type,data_fresh,entry_allowed,selected_for_portfolio,source_price_ts,freshness_age_sec,stale_reason,raw_intraday_exists_flag,raw_daily_exists_flag,provider_reason
AFRM,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:10:00Z,85.572085,,1,0,LIVE_QUOTE_ATTACHED
AMD,FRESH_EVALUATED,KIS_CURRENT_PRICE_APPENDED,1,0,1,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
AMGN,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:10:00Z,85.572085,,1,0,LIVE_QUOTE_ATTACHED
AMZN,FRESH_EVALUATED,KIS_CURRENT_PRICE_APPENDED,1,0,1,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
ARM,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ASML,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ASTS,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
AVGO,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
BA,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
CEG,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
COIN,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
CRM,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
CRWD,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
DDOG,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
EMR,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ESTC,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ETN,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
F,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
FTNT,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
GD,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
GE,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
GEV,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
GM,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
GOOGL,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
GTLB,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
HON,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
HOOD,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
IBIT,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
IR,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ISRG,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
LCID,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
LLY,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
LMT,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
MBLY,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
MDB,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
META,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
MRNA,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
MRVL,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
MSFT,FRESH_EVALUATED,KIS_CURRENT_PRICE_APPENDED,1,0,1,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
MSTR,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
NEE,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
NET,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
NOC,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
NOW,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
NVDA,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:10:00Z,85.572085,,1,1,LIVE_QUOTE_ATTACHED
NVO,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
OKTA,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ORCL,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
PANW,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
PH,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
PLTR,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
PWR,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
PYPL,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
REGN,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
RIVN,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
RKLB,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
ROK,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
RTX,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
S,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
SNOW,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
SOFI,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
TEAM,NOT_SELECTED_BY_PORTFOLIO,KIS_CURRENT_PRICE_APPENDED,1,0,0,2026-06-03T16:11:25.572085Z,0.0,,1,0,LIVE_QUOTE_ATTACHED
