event_type,economic_dimension,direction,confidence_raw_band,split_name,sample_size,positive_count,negative_count,neutral_count,missing_count,observed_positive_rate,average_static_weight,brier_score,calibration_error,calibration_status,calibrated_probability,diagnostic_only
canonical_source_event_add,EXECUTION,UNKNOWN,unknown,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,231,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_add,EXECUTION,UNKNOWN,unknown,anchored_oos,50,40,10,0,0,0.8,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_add,EXECUTION,UNKNOWN,unknown,offline_task385_continuation_engine,231,179,52,0,6,0.7748917748917749,0.0,0.7748917748917749,0.7748917748917749,CALIBRATED,0.7748917748917749,True
canonical_source_event_add,EXECUTION,UNKNOWN,unknown,train,181,139,42,0,6,0.7679558011049724,0.0,0.7679558011049724,0.7679558011049724,CALIBRATED,0.7679558011049724,True
canonical_source_event_entry,EXECUTION,UNKNOWN,unknown,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,350,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_entry,EXECUTION,UNKNOWN,unknown,anchored_oos,81,40,41,0,0,0.49382716049382713,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_entry,EXECUTION,UNKNOWN,unknown,offline_task385_continuation_engine,350,191,159,0,11,0.5457142857142857,0.0,0.5457142857142857,0.5457142857142857,CALIBRATED,0.5457142857142857,True
canonical_source_event_entry,EXECUTION,UNKNOWN,unknown,train,269,151,118,0,11,0.5613382899628253,0.0,0.5613382899628253,0.5613382899628253,CALIBRATED,0.5613382899628253,True
canonical_source_event_exit,EXECUTION,UNKNOWN,unknown,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,350,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_exit,EXECUTION,UNKNOWN,unknown,anchored_oos,81,40,41,0,0,0.49382716049382713,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_exit,EXECUTION,UNKNOWN,unknown,offline_task385_continuation_engine,350,191,159,0,0,0.5457142857142857,0.0,0.5457142857142857,0.5457142857142857,CALIBRATED,0.5457142857142857,True
canonical_source_event_exit,EXECUTION,UNKNOWN,unknown,train,269,151,118,0,0,0.5613382899628253,0.0,0.5613382899628253,0.5613382899628253,CALIBRATED,0.5613382899628253,True
canonical_source_event_reduce,EXECUTION,UNKNOWN,unknown,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,261,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_reduce,EXECUTION,UNKNOWN,unknown,anchored_oos,60,21,39,0,0,0.35,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_reduce,EXECUTION,UNKNOWN,unknown,offline_task385_continuation_engine,261,106,155,0,1,0.4061302681992337,0.0,0.4061302681992337,0.4061302681992337,CALIBRATED,0.4061302681992337,True
canonical_source_event_reduce,EXECUTION,UNKNOWN,unknown,train,201,85,116,0,1,0.4228855721393035,0.0,0.4228855721393035,0.4228855721393035,CALIBRATED,0.4228855721393035,True
canonical_source_event_scale,EXECUTION,UNKNOWN,unknown,UNSPECIFIED_SPLIT_REVIEW_ONLY,0,0,0,0,151,,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_scale,EXECUTION,UNKNOWN,unknown,anchored_oos,31,29,2,0,0,0.9354838709677419,0.0,,,INSUFFICIENT_SAMPLE,,True
canonical_source_event_scale,EXECUTION,UNKNOWN,unknown,offline_task385_continuation_engine,151,137,14,0,4,0.9072847682119205,0.0,0.9072847682119205,0.9072847682119205,CALIBRATED,0.9072847682119205,True
canonical_source_event_scale,EXECUTION,UNKNOWN,unknown,train,120,108,12,0,4,0.9,0.0,0.9,0.9,CALIBRATED,0.9,True
